Country Name,Country Code,Series Name,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Andorra,AND,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,7.14285714285714,7.14285714285714,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,28.5714285714286,28.5714285714286,28.5714285714286,25,35.7142857142857,35.7142857142857,50,50,50,50,39.2857142857143,32.1428571428571,32.1428571428571,32.1428571428571,46.4285714285714,46.4285714285714,46.4285714285714
Angola,AGO,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,76.51,76.49,76.48,76.44,76.41,76.38,76.36,76.39,76.42,76.46,76.53,76.59,76.67,76.73,76.79,76.83,76.87,76.9,76.91,76.9,76.88,..,..
Angola,AGO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,23.4,..,..,..,56.6,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15,15,15,15,37.2727272727273,38.6363636363636,38.6363636363636,38.1818181818182,34.0909090909091,34.0909090909091,36.8181818181818,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30,30,29.5454545454545
Antigua and Barbuda,ATG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,21.3,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
Argentina,ARG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,57.03,57.09,56.79,55.7,56.68,57.68,56.69,57.33,56.46,55.59,56.28,55.21,55.6,55.92,55.57,54.76,55.58,56.38,57.17,59.02,59.53,..,..
Argentina,ARG,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,30.3,..,..,..,38,..,..,..,..,..,..,57.8,..,..,..,..
Argentina,ARG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,26.4591439688716,..,30.7392996108949,30.7392996108949,33.7254901960784,36.1867704280156,35.0194552529183,40,40,38.5214007782101,38.5214007782101,37.3540856031128,37.3540856031128,36.5758754863813,36.5758754863813,..,35.7976653696498,38.1322957198444,38.9105058365759,40.1574803149606,40.8560311284047,44.7470817120623
Armenia,ARM,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,52.8,52.73,52.7,52.7,52.71,52.74,52.76,52.78,52.81,52.5,53.39,54.85,57.73,58.19,58.66,57.98,57.18,55.26,55.25,50.95,50.96,..,..
Armenia,ARM,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,11.5,..,..,..,31.8,..,..,..,24.4,..,..,..,..,..,..,27.4,..
Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,3.05343511450382,3.05343511450382,3.05343511450382,3.05343511450382,4.58015267175572,5.34351145038168,5.34351145038168,5.34351145038168,9.16030534351145,8.3969465648855,9.16030534351145,9.16030534351145,8.3969465648855,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,18.0952380952381,18.0952380952381,23.4848484848485,23.4848484848485,33.6448598130841
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,64.24,65.33,66.01,66.24,67.09,66.79,68.23,68.89,69.45,69.98,70.14,69.97,70.44,70.35,70.42,70.54,71.27,71.64,72.34,73.18,73.82,..,..
Australia,AUS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,22.4489795918367,22.972972972973,..,25.3333333333333,25.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26.6666666666667,26.6666666666667,27.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26,26,26.6666666666667,28.6666666666667,28.6666666666667,28.6666666666667,30.4635761589404,30.4635761589404,31.1258278145695
Austria,AUT,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,62.41,62.34,62.09,63.88,63.99,63.1,64.79,65.57,66.68,67.58,68.61,68.92,69.53,70.31,70.83,70.89,70.95,71.68,71.77,71.86,72.18,..,..
Austria,AUT,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.9
Austria,AUT,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,26.775956284153,26.775956284153,..,33.879781420765,33.879781420765,33.879781420765,32.2404371584699,32.7868852459016,27.3224043715847,27.8688524590164,27.8688524590164,27.8688524590164,27.8688524590164,33.3333333333333,32.2404371584699,30.6010928961749,30.6010928961749,34.4262295081967,34.4262295081967,39.344262295082,39.344262295082,40.4371584699454
Azerbaijan,AZE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,79.72,78.91,77.26,75.34,73.14,72.01,70.44,68.6,67.51,66.27,67.09,67.25,66.15,66.43,66.66,67.39,67.9,68.47,69.1,69.72,69.54,..,..
Azerbaijan,AZE,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,14.6,..,..,..,10.8,..,..,..,4,..,..,..,..,..,15.3,..,..
Azerbaijan,AZE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,12,..,10.4838709677419,10.4838709677419,10.4838709677419,10.4838709677419,13.0434782608696,11.2903225806452,11.3821138211382,11.3821138211382,11.3821138211382,16,16,16,15.5737704918033,15.5737704918033,16.9354838709677,16.8,16.8,16.8,16.8067226890756,17.3553719008264,18.1818181818182
"Bahamas, The",BHS,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,74.01,74.24,74.57,74.85,74.78,74.74,74.81,75.07,75.22,75.1,74.84,74.95,74.99,75.28,75.31,75.56,75.76,75.97,76.09,76.26,76.46,..,..
"Bahamas, The",BHS,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,58.3,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,15,15,15,..,20,20,20,20,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128,17.9487179487179
Bahrain,BHR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,35.45,36.23,36.94,37.65,38.5,39.44,40.42,41.11,41.96,42.96,44.07,45.24,44.47,44.68,44.9,45.13,45.34,45.61,46.02,46.56,47.03,..,..
Bahrain,BHR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,0,0,0,2.5,2.5,2.5,2.5,2.5,10,10,10,7.5,7.5,7.5,7.5,15,15,15,15
Bangladesh,BGD,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,27.37,27.65,27.85,28.07,28.29,28.51,28.72,28.83,29.39,29.96,30.53,31.1,31.68,32.26,32.84,33.43,34.01,34.59,37.95,38.25,38.48,..,..
Bangladesh,BGD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,16.1,..,..,..,..,..,12.7,..,..,..,..,..,..,..,..
Bangladesh,BGD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,9.09090909090909,9.09090909090909,..,2,2,2,14.7826086956522,15.0724637681159,..,6.33333333333333,18.5507246376812,18.5507246376812,19.7142857142857,19.7142857142857,19.7142857142857,19.8275862068966,20,20,20.2857142857143,20.2857142857143,20.6303724928367,20.9169054441261,20.8571428571429
Barbados,BRB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,75.08,75.02,75.05,75.1,75.16,75.78,75.76,75.7,75.59,75.46,75.33,75.23,75.33,73.82,75.19,74.42,74.31,75.09,75.14,75.13,75.17,..,..
Barbados,BRB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,43.5,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.7142857142857,10.7142857142857,10.7142857142857,10.7142857142857,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,10,10,10,10,10,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,20,20,20,20
Belarus,BLR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,65.99,66.7,67.49,68.29,69.08,69.78,70.36,70.82,71.19,71.51,71.83,72.18,72.59,73.03,73.47,73.89,74.26,74.56,74.55,74.4,74.25,..,..
Belarus,BLR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,18.6,..,..,52.9,..,..,..,..,46.2,..,..,..,..,45.5,..,..,..
Belarus,BLR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,10.3092783505155,10.3092783505155,10.3092783505155,29.3577981651376,29.0909090909091,29.0909090909091,29.0909090909091,31.8181818181818,31.8181818181818,31.8181818181818,31.8181818181818,26.605504587156,26.605504587156,26.605504587156,27.2727272727273,34.5454545454545,34.5454545454545,34.5454545454545,40,40,40
Belgium,BEL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,55.9,56.5,54.32,55.21,55.57,57.43,59.27,59.43,60.43,60.75,60.82,61.68,60.89,61.11,62.11,62.89,63,62.92,63.19,64.3,64.88,..,..
Belgium,BEL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.2,..
Belgium,BEL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,35.3333333333333,34.6666666666667,34.6666666666667,34.6666666666667,35.3333333333333,35.3333333333333,38,39.3333333333333,38,38,38,39.3333333333333,39.3333333333333,39.3333333333333,38,38,42,41.3333333333333,42
Belize,BLZ,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,41.27,42.36,43.45,44.57,45.7,46.82,47.91,47.99,48.09,48.19,48.32,48.46,48.67,48.89,49.13,49.98,50.88,52.31,51.42,51.87,52.15,..,..
Belize,BLZ,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,30.4,..,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,6.89655172413793,6.89655172413793,6.89655172413793,6.89655172413793,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,0,0,0,0,3.125,3.125,3.125,3.125,3.125,9.375,9.375,9.375,9.67741935483871,12.5
Benin,BEN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,64.49,65.27,66.03,66.78,67.5,68.14,68.73,69.24,69.68,70.06,70.4,70.69,69.47,69.52,69.58,69.65,69.76,69.85,69.95,70.05,70.15,..,..
Benin,BEN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,45.4,..,..,..,..,..,..,36.7,..,..,..,..,..
Benin,BEN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,6.02409638554217,6.02409638554217,6.02409638554217,6.02409638554217,6.02409638554217,7.2289156626506,7.2289156626506,7.2289156626506,10.8433734939759,10.8433734939759,10.8433734939759,10.8433734939759,8.43373493975904,8.43373493975904,8.43373493975904,8.43373493975904,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,8.43373493975904
Bermuda,BMU,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,63.03,63.71,64.51,65.34,66.17,66.95,67.66,67.95,68.25,68.55,68.85,65.9,63.35,64.73,59.4,56.2,61.2,61.59,61.9,62.13,62.31,..,..
Bhutan,BTN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,31.3,..,..,..,..,..,43.3,..,..,..,..,..,..
Bhutan,BTN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,2,9.33333333333333,9.33333333333333,9.33333333333333,9.33333333333333,9.21052631578947,9.33333333333333,2.66666666666667,2.66666666666667,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,6.38297872340426,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,14.8936170212766,14.8936170212766,14.8936170212766,17.0212765957447
Bolivia,BOL,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,61.26,61.47,62.1,62.71,63.3,63.88,64.44,64.99,62.69,64.29,64.54,64.25,63.95,60.09,60.64,62.8,56.1,58.88,60.81,65.34,65.7,..,..
Bolivia,BOL,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,41.1,..,..,..,41.3,..,..,..,..,..,..,68.6,..,..,..,..
Bolivia,BOL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,11.5384615384615,11.5384615384615,11.5384615384615,18.4615384615385,18.4615384615385,19.2307692307692,16.9230769230769,16.9230769230769,16.9230769230769,16.9230769230769,22.3076923076923,25.3846153846154,25.3846153846154,25.3846153846154,25.3846153846154,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,46.1538461538462,46.1538461538462
Bosnia and Herzegovina,BIH,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,41.41,41.04,40.82,40.57,40.42,40.1,38.25,37.86,38.06,39.55,40.23,41.55,41.89,42.03,42.33,44.28,44.23,43.79,44.29,44.34,46.79,..,..
Bosnia and Herzegovina,BIH,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,21.6,..,..,..,32.8,..,..,..,22.8,..,..,..,..,..,24.9,..,..
Bosnia and Herzegovina,BIH,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,7.14285714285714,..,16.6666666666667,16.6666666666667,16.6666666666667,14.2857142857143,11.9047619047619,11.9047619047619,19.047619047619,16.6666666666667,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,26.1904761904762,26.1904761904762
Botswana,BWA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,51.48,51.21,51.91,52.63,53.37,54.11,54.84,55.59,56.62,57.63,58.65,55.8,59.85,63.69,67.28,67.44,67.61,67.81,68.02,68.23,68.46,..,..
Botswana,BWA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,40.9,..,..,..,55.3,..,..,..,..,..,..,..,..,..,..,..
Botswana,BWA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,17.0212765957447,17.0212765957447,17.0212765957447,17.0212765957447,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,7.93650793650794,7.93650793650794,7.93650793650794,7.93650793650794,7.93650793650794,9.52380952380952,9.52380952380952,9.52380952380952,9.52380952380952,9.52380952380952,10.7692307692308,10.7692307692308,10.7692307692308
Brazil,BRA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,52.79,53.88,54.99,56.49,56.99,58.24,59.51,59.29,59.13,59.11,59.84,58.54,57.22,58.32,58.42,58.48,59.23,59.4,60.5,60.9,61.89,..,..
Brazil,BRA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,50.2,..,..,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,5.65302144249513,5.65302144249513,6.82261208576998,6.23781676413255,8.57699805068226,8.57699805068226,8.57699805068226,8.7719298245614,8.96686159844054,8.96686159844054,8.7719298245614,8.57699805068226,8.57699805068226,8.57699805068226,8.57699805068226,9.94152046783626,9.94152046783626,9.94152046783626,10.7212475633528,15.009746588694,15.009746588694,14.6198830409357,15.2046783625731
British Virgin Islands,VGB,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,56.64,57.79,58.3,58.2,58.2,58.34,58.59,58.75,58.91,59.12,59.37,59.68,60.03,60.35,60.66,60.96,61.28,61.62,61.97,62.15,59.66,..,..
Brunei Darussalam,BRN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.45161290322581,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909
Bulgaria,BGR,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,57.86,56.14,59.66,59.19,57.29,58.58,57.45,60.36,62.06,63.01,62.33,62.2,61.97,63.14,64.49,65.02,65.45,64.67,67.27,67.2,68.87,..,..
Bulgaria,BGR,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,28.8,..,39.2,..,33.9,..,..,..,41.5,..,..,..,..,..,41.7,..,..
Bulgaria,BGR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,10.8333333333333,10.8333333333333,26.25,26.25,26.25,26.25,22.0833333333333,22.0833333333333,21.6666666666667,21.6666666666667,20.8333333333333,20.8333333333333,20.8333333333333,22.9166666666667,24.5833333333333,20,20.4166666666667,20.4166666666667,23.75,23.75,25.8333333333333,26.6666666666667,23.75
Burkina Faso,BFA,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,71.1,69.97,68.81,67.63,66.42,65.18,63.92,62.64,62.28,61.91,61.55,61.18,60.82,60.46,60.11,59.76,59.81,59.86,59.91,59.96,60.01,..,..
Burkina Faso,BFA,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,23.3,..,..,19.2,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,8.10810810810811,8.10810810810811,8.10810810810811,11.7117117117117,11.7117117117117,11.7117117117117,11.7117117117117,11.7117117117117,15.3153153153153,15.3153153153153,15.3153153153153,15.3153153153153,15.3153153153153,15.748031496063,15.748031496063,..,9.44881889763779,9.44881889763779,11.0236220472441,11.0236220472441,13.3858267716535,6.2992125984252,6.2992125984252
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,86.09,85.4,84.79,84.2,83.62,83.09,82.61,82.2,81.84,81.55,81.32,81.15,81.03,80.95,80.89,80.81,81.1,81.34,81.51,81.63,81.69,..,..
Burundi,BDI,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..,..,..,..,..,..,..,34.8,..,..,..,..,..,..,..,44,..,..,..,..,..,..,..
Burundi,BDI,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,5.98290598290598,14.4067796610169,14.4067796610169,18.4357541899441,18.4357541899441,18.4357541899441,30.5084745762712,30.5084745762712,30.5084745762712,30.5084745762712,31.3559322033898,32.0754716981132,30.4761904761905,30.4761904761905,30.4761904761905,30.4761904761905,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,36.3636363636364,38.2113821138211,38.2113821138211
